matrix_id,Changement climatique,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie
3,0,0,1,0,1,0,1,1,0
7,0,0,0,0,0,0,0,1,0
8,0,0,1,1,0,2,0,0,0
18,1,1,0,0,3,0,0,4,2
34,0,0,0,0,0,0,0,1,0
37,0,0,0,0,0,1,0,0,0
39,0,0,1,1,0,1,0,0,0
48,0,0,0,0,0,0,0,1,0
50,0,0,0,0,0,0,0,1,0
51,0,0,1,1,0,0,0,0,0
60,0,0,0,0,0,0,0,1,0
93,0,0,0,0,0,0,0,1,0
