gefahr_id,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Ecology,Economy
1,0,0,1,1,0,1
2,0,0,0,0,1,0
8,0,0,0,0,1,0
9,0,0,1,0,0,1
19,0,1,2,0,0,1
26,1,0,2,1,0,1
31,0,0,0,1,0,0
63,0,0,0,0,0,1
86,0,0,3,0,0,1
93,0,0,2,0,0,1
106,0,0,1,0,0,0
111,0,0,0,0,2,0
119,0,0,0,0,1,0
125,0,0,0,0,1,0
126,0,0,0,0,1,0
166,0,0,0,0,1,0
176,0,0,1,0,0,1
180,0,0,0,0,1,0
189,0,0,0,1,0,0
244,0,0,0,2,0,2
288,0,0,0,0,1,0
289,0,0,0,0,1,0
401,0,0,0,1,0,0
457,0,0,0,0,1,0
540,0,0,0,0,1,0
580,0,0,0,0,1,0
581,0,0,0,0,1,0
