gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Ecologia
2,0,0,0,0,1,0
9,0,0,0,1,0,0
19,0,0,0,1,1,0
26,0,1,1,0,1,0
28,0,0,0,0,0,1
31,0,0,0,0,1,0
86,0,1,0,0,0,0
87,0,1,0,0,0,0
88,0,1,0,0,0,0
94,0,0,0,1,0,0
106,0,0,0,1,0,0
107,0,0,0,0,0,1
120,0,0,0,1,0,0
226,0,0,0,0,1,0
343,0,1,0,0,0,0
361,0,0,0,0,1,0
589,1,0,0,0,0,0
590,1,0,0,0,0,0
