gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik,demografischer Wandel
1,1,0,0,2,0,1,12,1,0,1,0,0,0
2,1,1,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,2,1,0,0,0,0,0,0
5,0,0,0,0,1,1,1,0,0,1,1,0,0
7,1,1,0,0,0,0,1,0,0,1,1,0,0
8,0,0,0,0,0,0,0,0,0,1,0,0,0
9,0,0,0,0,1,1,2,0,0,0,0,0,0
10,0,0,0,0,0,1,1,0,0,2,0,0,0
18,0,0,0,0,0,0,3,0,0,0,0,0,0
19,0,0,0,1,0,1,5,0,1,1,0,0,0
20,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,0,0,0,0,0,1,0,0,2,0,0,0
26,0,1,0,4,1,3,10,1,2,1,0,0,1
29,0,0,0,0,0,0,1,0,0,0,0,0,0
31,0,0,0,0,0,0,1,0,0,0,0,0,0
32,0,0,0,0,0,1,1,0,0,0,0,0,0
34,0,0,0,0,0,0,1,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0
39,0,0,1,0,0,0,0,1,0,1,0,0,0
40,0,0,0,0,0,0,1,0,0,0,0,0,0
57,0,0,0,0,1,0,1,0,0,0,0,0,0
58,0,1,0,0,0,0,0,0,0,0,0,0,0
63,2,0,2,0,1,1,3,1,0,2,1,0,0
86,2,0,0,0,0,0,1,0,0,1,2,0,0
87,1,0,0,1,0,0,2,0,0,1,0,0,0
88,0,0,0,0,0,1,0,0,0,0,0,0,0
89,1,1,0,0,0,1,0,1,0,0,1,0,0
90,0,0,0,1,0,0,0,0,0,1,0,0,0
91,1,0,1,0,0,0,0,1,0,2,1,0,0
93,2,2,1,3,0,5,8,2,1,2,0,0,0
94,0,0,0,0,0,1,4,1,0,1,0,0,0
98,0,1,0,0,0,0,0,0,0,0,0,0,0
99,2,0,0,0,0,0,1,0,0,0,0,0,0
104,0,0,0,0,0,0,1,0,0,0,0,0,0
106,0,0,0,0,1,3,1,0,0,1,1,0,0
109,1,0,0,0,0,0,0,0,0,1,0,0,0
111,5,0,1,0,0,1,1,1,0,5,1,0,0
112,1,0,0,0,0,0,0,0,0,1,0,0,0
114,0,0,0,0,0,0,4,0,0,0,0,0,0
118,1,0,0,1,0,0,1,0,0,0,0,0,0
119,0,1,0,0,0,0,2,0,1,2,0,0,0
120,0,0,0,0,0,0,1,0,0,1,0,0,0
123,0,0,0,0,0,1,2,1,0,0,0,0,0
125,0,0,0,0,0,0,4,0,0,2,0,0,0
137,2,0,0,1,0,0,0,0,0,2,0,0,0
156,0,0,0,0,0,0,1,0,0,0,0,0,0
162,0,0,0,0,0,0,1,0,0,1,0,0,0
176,1,1,0,0,0,0,2,0,0,0,1,0,0
178,0,0,0,1,0,0,0,0,0,0,0,0,0
181,0,0,0,3,0,0,7,0,0,1,2,0,0
189,0,0,0,0,0,0,1,0,0,0,0,0,0
195,0,0,0,0,0,0,1,0,0,0,0,0,0
202,0,0,0,0,1,2,1,0,0,1,1,0,0
203,0,0,0,0,0,1,0,0,0,0,0,0,0
211,0,0,0,0,0,1,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,1,0,0,0
232,0,0,0,0,0,1,3,0,0,0,0,0,0
238,0,0,0,0,1,1,3,0,0,0,1,0,0
244,1,0,0,0,1,2,17,0,0,2,2,0,0
255,0,0,0,0,0,0,2,0,0,0,0,0,0
256,1,0,0,0,0,0,0,0,0,1,0,0,0
261,0,0,1,0,0,1,0,2,0,1,0,0,0
266,0,0,1,0,0,0,0,1,0,1,0,0,0
277,1,0,0,0,0,0,0,0,0,1,0,0,0
300,1,1,0,0,0,0,0,0,0,0,1,0,0
314,0,0,0,0,0,0,1,0,0,1,0,0,0
320,0,0,0,0,0,0,1,0,0,0,0,0,0
323,0,1,0,0,0,0,0,0,0,0,0,1,0
332,0,0,0,1,0,0,0,0,0,0,0,0,0
333,0,0,0,0,1,3,1,0,0,0,0,0,0
334,0,0,0,1,0,0,0,0,0,0,0,0,0
348,0,0,0,1,0,0,1,0,0,0,0,0,0
355,0,0,0,0,0,1,0,0,0,0,0,0,0
361,0,0,0,0,0,1,8,0,0,0,0,0,0
