gefahr_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
1,2,2,0,0,10,3,4,16,0,0,1,2,2
2,0,1,0,0,2,0,0,1,0,0,0,0,0
4,0,0,0,1,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,0,2,0,0,0,0,0
9,0,0,0,0,2,0,3,6,0,0,1,1,1
10,0,0,0,0,0,0,0,3,0,0,1,0,0
14,0,0,0,0,0,0,0,2,0,0,0,0,0
18,1,1,0,0,1,0,0,1,0,0,0,0,0
19,1,2,1,0,2,2,3,17,0,1,3,1,0
20,0,1,0,0,0,1,2,2,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,2,0,0
26,3,3,0,0,16,12,11,24,3,3,3,4,2
28,1,1,0,0,0,0,0,2,0,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,0,0
35,2,0,1,0,0,0,0,1,0,0,1,0,0
36,1,0,0,0,0,0,0,0,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,1,0,0
48,2,0,0,0,1,0,0,0,0,0,0,0,0
62,0,0,0,0,0,1,0,0,0,0,0,0,0
63,0,0,1,0,0,1,0,18,0,0,1,1,0
76,0,0,0,0,0,0,0,1,0,0,0,0,0
86,4,1,0,0,3,0,3,8,1,0,3,2,2
87,1,0,0,0,3,1,0,7,1,0,1,0,0
88,1,0,0,0,1,0,0,7,1,0,1,0,0
89,0,0,0,0,1,0,1,2,0,0,0,0,0
90,0,0,0,0,1,0,3,0,0,0,0,0,1
93,6,5,2,2,8,5,12,22,2,1,5,2,4
94,0,0,0,0,1,1,0,5,0,0,0,0,1
95,1,0,0,0,1,0,0,1,0,0,0,0,0
97,0,0,0,0,0,0,0,1,0,0,0,0,0
99,15,2,0,0,3,1,1,12,0,1,6,1,1
100,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,1,0,0,1,0,1,0,0,0,1,1,1
103,0,1,0,0,0,2,0,0,0,0,0,0,0
106,0,1,0,1,3,0,4,5,0,0,0,1,0
107,0,0,0,0,2,0,0,2,0,0,0,0,0
109,1,1,1,0,1,0,1,0,0,0,1,1,0
111,4,1,1,0,1,1,5,0,0,0,2,1,1
