matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
1,2,1,1,0,5,6,9,8,0,0,2,1,0
2,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1,2,0,2,1,1,7,0,0,0,0,0
5,0,0,0,0,0,0,1,1,0,0,1,0,0
6,0,0,0,0,0,2,2,4,1,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,1,1,1,6,0,0,0,0,1
9,5,1,0,0,2,1,0,11,0,0,5,1,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,0,0,0,0,0,1,0,0,0,0,0,0
18,1,1,0,1,0,0,1,4,1,0,0,0,1
21,0,1,0,0,1,1,1,1,0,0,0,0,0
22,1,1,0,0,3,0,1,3,0,0,0,0,0
23,2,1,1,0,5,4,2,10,0,0,2,0,0
24,1,1,0,0,2,0,0,1,0,0,0,0,0
25,0,0,0,0,0,1,0,2,0,0,0,0,0
26,0,0,0,0,1,0,2,0,0,0,0,0,0
27,0,0,0,0,1,2,1,0,0,0,1,0,0
30,0,0,0,0,1,2,0,2,0,0,0,0,0
31,0,0,0,0,1,0,2,0,1,0,0,0,0
32,0,0,0,0,0,0,1,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0
34,0,2,1,0,3,3,1,4,0,0,2,0,0
35,1,0,0,0,0,0,0,0,0,0,1,0,0
36,0,0,0,0,0,0,0,0,0,0,1,0,0
37,0,0,0,0,2,0,0,0,0,0,0,0,0
38,0,0,0,0,1,1,1,3,0,0,0,0,1
39,0,0,0,0,3,1,7,0,0,0,0,0,0
42,0,0,0,0,1,0,1,2,0,0,0,0,0
45,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,1,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,1,0,1,0,0,1,0,0
54,0,0,0,0,0,0,0,18,0,0,0,0,0
55,0,0,0,0,0,0,0,3,0,0,3,0,0
56,0,1,0,0,1,1,1,0,0,0,0,0,0
58,0,2,0,0,2,6,11,1,1,0,0,1,0
59,2,0,0,0,0,1,1,5,1,0,0,1,1
60,0,1,0,0,2,0,0,3,0,0,2,0,0
61,2,0,0,0,1,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,2,1,0,0,1,1,0
65,0,0,0,0,0,0,0,2,0,0,0,0,0
73,0,0,0,0,1,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,1,0,0,0,0,0,0
82,4,0,1,0,0,0,0,4,0,0,3,0,0
86,0,0,0,0,0,1,0,1,0,1,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0,0,1,0,0,1,0,2,0,0,1,0,0
98,1,0,0,0,1,0,2,1,0,0,1,2,1
100,0,1,0,0,1,0,2,1,0,0,0,0,0
104,0,0,0,0,1,0,1,2,0,0,0,0,0
105,0,0,0,0,0,0,0,1,0,0,0,0,0
106,0,0,0,0,1,0,0,1,0,0,0,0,0
111,0,0,0,0,1,0,0,0,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,1,0,0,0
117,0,0,0,0,0,0,0,3,0,0,0,0,0
118,0,0,0,0,1,0,0,4,0,0,0,1,0
120,0,1,0,0,0,0,0,7,0,0,1,0,0
121,0,0,0,0,0,0,0,3,0,0,0,0,0
123,0,0,0,0,0,0,0,2,0,0,0,0,0
126,0,0,0,0,2,0,0,8,0,0,0,0,0
133,1,0,1,0,1,0,1,0,0,0,1,1,0
134,0,0,0,0,1,0,0,0,0,0,0,0,0
141,0,0,0,0,1,0,1,0,0,0,0,0,0
143,0,0,0,0,1,0,1,0,0,0,0,0,0
151,0,0,0,0,1,0,1,0,0,0,0,0,0
155,0,0,0,0,0,0,3,1,0,0,0,1,0
