gefahr_id,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Wirtschaft,Politik
9,0,0,1,0,0,0,0,0,0
26,0,0,0,1,0,0,0,0,0
45,2,0,0,2,0,0,0,0,0
49,0,0,0,1,0,0,0,0,0
51,0,0,0,1,0,0,0,0,0
52,0,0,0,1,0,0,0,0,0
56,0,0,0,1,0,1,0,0,0
79,0,0,0,3,0,0,0,0,0
80,0,0,0,1,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0
92,0,0,0,1,0,0,0,0,0
102,0,0,0,3,0,1,0,0,0
106,0,0,0,1,0,0,0,0,0
111,1,0,1,1,0,0,0,0,0
113,0,0,0,1,0,0,0,0,0
122,0,0,0,1,0,0,0,0,0
128,0,0,0,1,0,0,0,0,0
145,0,0,0,3,0,0,0,0,1
165,0,0,0,1,0,1,0,0,0
167,0,0,0,1,0,0,0,0,0
187,0,0,0,1,0,1,0,0,0
189,0,0,0,0,1,0,0,0,0
197,0,0,0,1,0,0,0,0,0
203,1,0,1,1,0,0,0,0,0
209,0,0,0,1,0,1,0,0,0
227,0,0,0,1,0,0,0,0,0
230,0,0,0,1,0,0,0,0,0
234,1,1,0,1,0,0,0,0,0
249,0,0,0,1,0,1,0,0,0
297,0,0,0,0,0,1,0,0,0
298,0,0,1,1,0,0,0,0,0
333,0,0,1,1,0,0,0,0,0
344,0,0,0,1,0,1,0,0,0
363,0,0,0,2,0,0,0,0,0
401,0,0,1,0,0,0,0,0,0
474,0,0,1,1,0,0,0,0,0
503,0,0,1,1,0,0,0,0,0
507,0,0,0,1,0,0,0,0,0
516,0,0,0,1,0,0,0,0,0
528,0,0,3,17,0,2,1,2,0
536,0,0,0,1,0,0,0,0,0
538,0,0,0,1,0,0,0,0,0
566,0,0,0,1,0,0,0,0,0
574,0,0,0,1,0,0,0,0,0
583,0,0,0,1,0,1,0,0,0
595,0,0,0,1,0,0,0,0,0
597,0,0,0,1,0,0,0,0,0
