gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
9,0,0,0,1,0,0,0,0,0,0,0
19,0,0,0,0,1,0,0,0,0,0,0
20,0,0,0,0,1,0,0,0,0,0,0
26,1,1,1,0,2,0,1,1,1,1,0
45,0,3,0,0,4,0,0,0,0,0,0
49,0,0,0,0,2,0,1,0,0,0,0
79,0,0,0,1,7,0,0,0,0,0,0
80,1,0,0,0,4,0,0,0,0,1,1
81,0,0,0,1,0,0,0,0,0,0,0
91,0,0,0,0,0,1,1,0,1,0,0
92,0,0,0,0,2,0,0,0,0,0,0
93,0,0,0,0,0,0,1,0,0,1,0
102,0,0,0,0,4,0,0,0,2,0,0
103,0,0,0,0,1,0,0,0,0,0,0
106,0,1,0,0,1,1,0,0,0,0,0
108,0,0,0,0,1,0,0,0,0,0,0
111,1,1,0,1,3,0,0,0,0,0,0
113,0,0,0,0,1,0,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,0,0
118,0,0,0,0,1,0,0,0,0,0,0
122,0,0,0,0,1,0,0,0,0,0,0
125,2,0,0,0,2,0,0,1,1,0,0
126,0,0,0,0,2,0,0,0,1,0,0
127,0,0,0,0,1,0,0,0,0,0,0
128,0,0,0,0,2,0,0,0,1,0,0
137,1,0,1,0,0,0,0,0,1,0,0
142,0,0,0,0,1,0,0,0,0,0,0
145,0,0,0,0,0,0,2,0,1,0,0
165,2,1,1,0,4,0,0,1,3,1,0
166,0,0,1,0,1,0,0,0,1,0,0
167,1,0,0,0,1,0,0,0,2,0,0
174,0,0,0,0,1,0,0,0,0,0,0
178,0,0,0,0,1,0,0,0,0,0,0
180,0,0,0,0,1,0,0,0,0,0,0
185,1,1,1,0,2,0,0,1,1,1,0
187,1,0,0,0,3,0,0,0,1,0,0
197,0,1,0,0,0,0,0,0,0,0,0
203,0,1,0,1,1,0,0,0,0,0,0
225,0,0,0,0,1,0,0,0,1,0,0
227,0,0,0,0,2,0,0,0,0,0,0
234,0,0,0,0,3,0,0,0,0,0,0
236,0,0,0,0,1,0,0,0,0,0,0
246,0,0,0,0,1,0,0,0,0,0,0
261,1,1,1,0,1,0,0,1,1,1,0
271,0,0,0,0,1,0,0,0,0,0,0
273,0,0,0,0,4,0,0,0,0,0,0
274,0,0,0,1,0,0,0,0,0,0,0
284,0,0,0,0,0,0,1,0,1,0,0
290,0,0,0,0,1,0,0,0,0,0,0
298,0,0,0,1,1,0,0,0,0,0,0
301,0,0,0,0,1,0,0,0,0,0,0
306,0,0,0,0,1,0,0,0,0,0,0
311,0,0,0,0,1,0,0,0,0,0,0
315,0,0,0,1,0,0,0,0,0,0,0
316,0,1,0,0,1,0,1,0,0,0,0
333,0,0,0,1,0,0,0,0,0,0,0
335,0,0,0,1,1,0,0,0,0,0,0
338,1,1,1,0,1,0,1,1,1,1,0
341,1,2,1,0,2,0,0,1,1,1,0
359,1,0,0,0,0,0,0,0,1,0,0
363,0,1,0,2,3,0,0,1,0,0,0
367,0,0,0,1,1,0,0,1,0,0,1
368,0,1,0,1,1,0,0,1,0,0,1
369,0,0,0,0,1,0,0,0,0,0,0
370,0,0,0,1,0,0,0,0,0,0,0
371,0,0,0,1,0,0,0,0,0,0,0
373,0,0,0,0,1,0,0,0,0,0,0
374,0,0,0,0,1,0,0,0,0,0,1
378,0,2,0,1,0,0,0,1,0,0,0
389,0,1,0,0,0,0,0,0,0,0,0
396,0,0,0,0,1,0,0,0,0,0,0
398,0,1,0,0,0,0,0,0,0,0,0
401,0,0,0,1,0,0,0,0,0,0,0
402,0,0,0,0,1,0,0,0,1,0,0
413,0,0,0,0,1,0,0,0,0,0,0
422,0,0,0,0,1,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,1,0,0
436,0,0,0,0,1,0,0,0,0,0,0
448,0,0,0,0,1,0,0,0,0,0,0
461,0,1,0,0,0,0,1,0,0,0,0
468,0,0,0,0,1,0,0,0,0,0,0
474,0,0,0,1,1,0,0,0,0,0,0
492,0,0,0,0,1,0,0,0,0,0,0
503,0,0,0,1,1,0,0,0,0,0,0
507,0,0,0,0,1,0,0,0,0,0,0
516,0,0,0,0,0,0,1,0,0,0,0
528,0,0,0,2,9,0,2,1,0,2,0
536,0,0,0,0,1,0,0,0,0,0,0
538,0,0,0,0,1,0,0,0,0,0,0
