steckbrief_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft
25,0,0,0,0,1,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0,0
34,0,1,0,0,1,0,0,0,0,0
36,2,0,0,0,0,0,0,0,1,0
47,0,1,1,0,0,0,0,0,0,0
51,0,0,0,0,2,0,1,0,0,0
85,0,0,0,0,1,0,0,0,0,0
86,0,0,0,0,1,0,0,0,0,0
87,0,0,0,0,1,0,0,0,0,0
95,0,0,0,2,18,0,2,1,0,1
131,0,0,0,0,1,0,0,0,0,0
140,0,0,0,0,1,0,0,0,0,0
148,0,0,0,0,1,0,0,0,0,0
174,0,0,0,0,1,0,1,0,0,0
205,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,1,0,1,0,0,0
222,0,0,0,0,1,0,0,0,0,0
233,0,0,0,0,1,0,1,0,0,0
238,0,1,0,0,1,0,0,0,0,0
239,0,0,0,0,0,1,0,0,0,0
259,0,0,0,0,1,0,0,0,0,0
265,0,0,0,0,1,0,0,0,0,0
266,0,0,0,0,1,0,0,0,0,0
277,0,1,0,0,1,0,0,0,0,0
295,0,0,0,0,1,0,0,0,0,1
299,0,0,0,0,1,0,0,0,0,0
