steckbrief_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Società,Tecnologia,Ecologia,Economia,Politica
34,0,1,0,1,1,0,0,0,0,0
36,3,0,1,0,0,0,0,2,0,0
51,0,0,0,0,3,1,0,0,0,0
54,0,0,0,0,1,0,0,0,0,0
86,0,0,0,0,1,0,0,0,0,0
87,0,0,0,0,1,0,0,0,0,0
95,0,0,0,4,20,5,1,0,3,0
123,0,0,0,1,0,0,0,0,0,0
131,0,0,0,0,1,0,0,0,0,0
140,0,0,0,0,1,0,0,0,0,0
147,0,0,0,0,2,0,0,0,0,0
148,0,0,0,0,1,0,0,0,0,0
174,0,0,0,0,1,1,0,0,0,0
205,0,0,0,0,1,0,0,0,0,0
211,0,0,0,0,1,1,0,0,0,0
222,0,0,0,0,1,0,0,0,0,0
231,0,0,0,0,1,0,0,0,0,0
233,0,0,0,0,2,2,0,0,1,1
238,0,2,0,0,0,0,1,0,0,0
241,0,0,0,0,1,1,0,0,0,0
252,0,0,0,1,0,0,0,0,0,0
259,0,0,0,0,1,0,0,0,0,0
273,0,0,0,0,1,0,0,0,0,0
277,0,1,0,0,4,0,0,0,0,0
287,0,0,0,0,1,0,0,0,1,0
295,0,0,0,0,1,0,0,0,0,0
