gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
19,0,0,0,0,1,0,0,0,0,0,0
20,0,0,0,0,1,0,0,0,0,0,0
26,1,1,1,0,1,0,0,1,1,1,0
45,0,1,0,0,2,0,0,0,0,0,0
49,0,0,0,0,1,0,1,0,0,0,0
79,0,0,0,1,1,0,0,0,0,0,0
80,1,0,0,0,4,0,0,0,0,1,1
81,0,0,0,1,0,0,0,0,0,0,0
91,0,0,0,0,0,0,1,0,1,0,0
92,0,0,0,0,2,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,1,0,0
103,0,0,0,0,1,0,0,0,0,0,0
106,0,1,0,0,1,1,0,0,0,0,0
108,0,0,0,0,1,0,0,0,0,0,0
111,0,0,0,0,1,0,0,0,0,0,0
118,0,0,0,0,1,0,0,0,0,0,0
122,0,0,0,0,1,0,0,0,0,0,0
125,2,0,0,0,2,0,0,1,1,0,0
126,0,0,0,0,2,0,0,0,1,0,0
127,0,0,0,0,1,0,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0,0,0
145,0,0,0,0,0,0,2,0,1,0,0
165,2,1,1,0,1,0,0,1,2,1,0
166,0,0,1,0,0,0,0,0,0,0,0
167,1,0,0,0,0,0,0,0,1,0,0
174,0,0,0,0,1,0,0,0,0,0,0
178,0,0,0,0,1,0,0,0,0,0,0
180,0,0,0,0,1,0,0,0,0,0,0
185,1,1,1,0,2,0,0,1,1,1,0
187,1,0,0,0,0,0,0,0,0,0,0
197,0,1,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,1,0,0
227,0,0,0,0,1,0,0,0,0,0,0
234,0,0,0,0,1,0,0,0,0,0,0
236,0,0,0,0,1,0,0,0,0,0,0
246,0,0,0,0,1,0,0,0,0,0,0
261,1,1,1,0,1,0,0,1,1,1,0
273,0,0,0,0,3,0,0,0,0,0,0
274,0,0,0,1,0,0,0,0,0,0,0
284,0,0,0,0,0,0,1,0,1,0,0
290,0,0,0,0,1,0,0,0,0,0,0
301,0,0,0,0,1,0,0,0,0,0,0
306,0,0,0,0,1,0,0,0,0,0,0
311,0,0,0,0,1,0,0,0,0,0,0
315,0,0,0,1,0,0,0,0,0,0,0
316,0,1,0,0,1,0,1,0,0,0,0
335,0,0,0,1,1,0,0,0,0,0,0
338,1,1,1,0,1,0,1,1,1,1,0
341,1,2,1,0,2,0,0,1,1,1,0
359,1,0,0,0,0,0,0,0,1,0,0
363,0,1,0,2,3,0,0,1,0,0,0
367,0,0,0,1,1,0,0,1,0,0,1
368,0,0,0,1,1,0,0,1,0,0,1
369,0,0,0,0,1,0,0,0,0,0,0
370,0,0,0,1,0,0,0,0,0,0,0
371,0,0,0,1,0,0,0,0,0,0,0
373,0,0,0,0,1,0,0,0,0,0,0
374,0,0,0,0,1,0,0,0,0,0,1
378,0,2,0,1,0,0,0,1,0,0,0
389,0,1,0,0,0,0,0,0,0,0,0
396,0,0,0,0,1,0,0,0,0,0,0
398,0,1,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,1,0,0
413,0,0,0,0,1,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0,1,0,0
436,0,0,0,0,1,0,0,0,0,0,0
461,0,1,0,0,0,0,1,0,0,0,0
