matrix_id,Climate change,Technological innovations and scientific advances,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
1,0,0,0,0,8,0,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0,0
6,0,0,0,0,2,0,1,0,0,0,0
8,0,0,0,0,2,0,1,0,0,1,0
11,0,0,0,0,1,0,1,0,0,0,0
14,0,0,0,1,0,0,1,0,0,0,0
16,0,0,0,0,1,0,0,0,0,0,0
18,1,6,1,5,24,1,10,2,1,6,2
21,0,0,0,0,1,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0
49,0,0,0,0,1,0,1,0,0,0,0
58,0,0,0,0,1,0,0,0,0,0,0
80,0,0,0,0,4,0,0,1,0,0,0
81,0,0,0,0,2,0,0,0,0,0,0
98,0,0,0,0,2,0,0,0,0,0,0
99,0,0,0,0,1,0,0,0,0,0,0
148,0,0,0,0,1,0,1,0,0,0,0
