Code,NAME DE,NAME FR,NAME IT,NAME EN,Steckbrief
1,"(behandelt oder unbehandelt), abgefüllt in Behältnisse oder ab Wasserspendern (Gallonen oder im Verteilnetz)",(traitée ou non traitée) en récipients ou dans des fontaines à eau (gallons ou réseau de distribution),(trattata o non trattata) in recipienti o distributori di acqua (galloni o nella rete di distribuzione),"(treated or untreated), in containers or from water dispensers  (gallon bottles or in the distribution network)",Trinkwasser
2,alkoholfrei,sans alcool,senz’alcool,non-alcoholic,Mykotoxine
4,aromatisiert,aromatisé,con aromi,aromatised,Mykotoxine
5,bei Abgabe an Konsumenten,en cas de remise au consommateur,se destinati ai consumatori,on sale to consumers,Mykotoxine
6,bei Verarbeitung zu Mehl,en cas de transformation en farine,se destinati alla molitura,on processing into flour,Mykotoxine
7,getrocknet,séché,essiccate,dried,Mykotoxine
8,im Verteilnetz,dans le réseau de distribution,nella rete di distribuzione,in the distribution network,Trinkwasser
9,in der Hausinstallation,dans les installations domestiques,nell’impianto domestico,in the domestic system,Trinkwasser
10,nach der Behandlung,après le traitement,dopo il trattamento,after treatment,Trinkwasser
11,nicht verarbeitet,non transformé,non trasformate,unprocessed,Mykotoxine
12,nicht zum unmittelbaren Verzehr,non destinée à la consommation directe,non destinate al consumo diretto,not for direct consumption,Mykotoxine
13,verarbeitet,transformé,trasformate,processed,Mykotoxine
14,vor dem Verzehr oder der Verwendung als Lebensmittelzutat einer Sortierung oder einer anderen physikalischen Behandlung unterzogen,soumis à un traitement de tri ou à un autre traitement physique avant sa consommation ou son utilisation comme ingrédient alimentaire,da sottoporre a cernita o ad altro trattamento fisico prima del consumo umano o dell’impiego quali ingredienti di derrate alimentari,sorted or otherwise physically treated before consumption or use as a food ingredient,Mykotoxine
15,zum unmittelbaren Verzehr,destiné à la consommation directe,destinate al consumo diretto,for direct consumption,Mykotoxine
16,zum unmittelbaren Verzehr oder zur Verwendung als Lebensmittelzutat,destiné à la consommation directe ou à une utilisation comme ingrédient alimentaire,destinate al consumo diretto o all’impiego quali ingredienti di derrate alimentari,for direct consumption or for use as a food ingredient,Mykotoxine
17,an der Fassung,au captage,alla captazione,at the source,Trinkwasser
18,unbehandelt,non traitée,non trattata,untreated,Trinkwasser
