Deutsch,Englisch,Französisch,Italienisch,ID
Amaranth,Amaranth,Amarante,Amaranto,16656-85
Amaranth bei Abgabe an Konsumenten,Amaranth for consumer use,Amarante destinée aux consommateurs,Amaranto per consumo diretto,37039-46
Ananas,Pineapples,Ananas,Ananas,7219-72
Anis,Anise,Anis,Anice,6515-50
Aprikosen,Apricots,Abricots,Albicocche,4731-67
Artischocken,Artichokes,Artichauts,Carciofi,4732-64
Auberginen,Eggplants,Aubergines,Melanzane,19186-61
Avocados,Avocados,Avocats,Avocado,7212-93
Bananen,Bananas,Bananes,Banane,4734-58
Basilikum,Basil,Basilic,Basilico,6504-83
Birnen,Pears,Poires,Pere,4736-52
Blumenkohl,Cauliflower,Chou-fleur,Cavolfiore,19187-58
Bockshornkleesamen,Fenugreek seeds,Graines de fenugrec,Semi di fieno greco,13129-93
"Bohnen frisch, mit Hülsen","Beans fresh, with pods","Haricots frais, avec gousses","Fagioli freschi, con baccello",13541-21
Bohnen getrocknet,Beans dried,Haricots secs,Fagioli secchi,8683-45
Brokkoli,Broccoli,Brocolis,Broccoli,19188-55
Brombeeren,Blackberries,Mûres,More,4743-31
"Brot, einschliesslich Kleingebäck, feine Backwaren, Kekse, Getreide-Snacks und Frühstückscerealien","Bread, including small pastries, fine baked goods, biscuits, cereal snacks, and breakfast cereals","Pain, y compris petites viennoiseries, pâtisseries fines, biscuits, snacks céréaliers et céréales pour petit déjeuner","Pane, inclusi panini, prodotti da forno dolci, biscotti, snack di cereali e cereali per la colazione",35341-96
Brunnenkresse,Watercress,Cresson,Crescione d'acqua,8168-38
Buchweizen,Buckwheat,Sarrasin,Grano saraceno,8161-59
Buchweizen bei Verarbeitung zu Mehl,Buckwheat for processing into flour,Sarrasin transformé en farine,Grano saraceno per la trasformazione in farina,37035-58
Chicorée,Chicory,Chicorée,Indivia belga,4845-16
Chinakohl,Chinese cabbage,Chou chinois,Cavolo cinese,19189-52
Datteln,Dates,Dattes,Datteri,7194-50
Dinkel (Triticum spelta),Spelt (Triticum spelta),Épeautre (Triticum spelta),Farro (Triticum spelta),4746-22
Dinkel (Triticum spelta) bei Abgabe an Konsumenten,Spelt (Triticum spelta) for consumer use,Épeautre (Triticum spelta) destiné aux consommateurs,Farro (Triticum spelta) per consumo diretto,37007-45
Dinkel (Triticum spelta) bei Verarbeitung zu Mehl,Spelt (Triticum spelta) for processing into flour,Épeautre (Triticum spelta) destiné à la transformation en farine,Farro (Triticum spelta) per la trasformazione in farina,36977-38
Durianfrüchte,Durian fruits,Durians,Durian,13068-82
Einlegegurken,Pickles,Cornichons,Cetriolini sottaceto,8676-66
Eisbergsalat,Iceberg lettuce,Laitue iceberg,Lattuga iceberg,6367-09
Endivie,Endive,Endive,Indivia,19190-49
"Erbsen frisch, mit Hülsen","Peas fresh, with pods","Pois frais, avec gousses","Piselli freschi, con baccello",13543-15
Erdbeeren,Strawberries,Fraises,Fragole,4751-07
Erdnüsse,Peanuts,Arachides,Arachidi,6049-90
"Erdnüsse (ausgenommen Erdnüsse, die zum Zermahlen für die Erzeugung von raffiniertem Pflanzenöl bestimmt sind) die vor ihrem Verzehr oder ihrer Verwendung als Lebensmittelzutat einer Sortierung oder einer anderen physikalischen Behandlung unterzogen werden sollen",Peanuts (excluding those ground for producing refined vegetable oil) to be sorted or otherwise physically treated before consumption or use as a food ingredient,Arachides (sauf celles destinées à la mouture pour produire de l'huile végétale raffinée) devant être triées ou soumises à un autre traitement physique avant consommation ou utilisation comme ingrédient alimentaire,Arachidi (escluse quelle destinate alla macinazione per produrre oli vegetali raffinati) che richiedono selezione o altro trattamento fisico prima del consumo o dell'uso come ingrediente alimentare,36597-14
"Erdnüsse und ihre Verarbeitungserzeugnisse (ausgenommen pflanzliche Rohöle, die zum Raffinieren bestimmt sind und raffinierte Pflanzenöle), die zum unmittelbarem Verzehr oder zur Verwendung als Lebensmittelzutat bestimmt sind","Peanuts and their processed products (excluding crude vegetable oils intended for refining and refined vegetable oils), intended for direct consumption or use as a food ingredient",Arachides et leurs dérivés (sauf huiles végétales brutes destinées au raffinage et huiles végétales raffinées) prêtes à consommer ou utilisées comme ingrédient alimentaire,"Arachidi e loro derivati (esclusi oli vegetali grezzi destinati alla raffinazione e oli vegetali raffinati), destinati al consumo diretto o come ingrediente alimentare",36611-69
Feigen,Figs,Figues,Fichi,7103-32
Feigen getrocknet,Figs dried,Figues sèches,Fichi secchi,19618-26
Fenchel,Fennel,Fenouil,Finocchio,4752-04
Fenchelsamen,Fennel seeds,Graines de fenouil,Semi di finocchio,6516-47
Fichten-Steinpilz,Spruce bolete mushrooms,Bolet,Boletus pinophilus,9192-70
Frühlingszwiebeln,Spring onions,Ciboules,Cipollotti,8677-63
Gemüsepaprika (Peperoni),Bell peppers (capsicum),Poivrons,Peperoni dolci,4759-80
Gerste,Barley,Orge,Orzo,4760-77
Getreidebeikost und andere Beikost für Säuglinge und Kleinkinder,Cereal-based baby food and other complementary foods for infants and toddlers,Aliments céréaliers complémentaires et autres compléments alimentaires pour nourrissons et jeunes enfants,Alimenti a base di cereali e altri alimenti complementari per neonati e bambini,4829-64
Getreidekörner bei Abgabe an Konsumentinnen und Konsumenten,Cereal grains for consumer use,Grains de céréales destinés aux consommateurs,Chicchi di cereali per consumo diretto,36606-84
Getreidemehl,Cereal flour,Farine de céréales,Farina di cereali,4762-71
Getreideprodukte,Cereal products,Produits céréaliers,Prodotti cerealicoli,4763-68
Granatäpfel,Pomegranates,Grenades,Melograni,8165-47
Grapefruits,Grapefruits,Pamplemousses,Pompelmi,19191-46
Guaven,Guavas,Goyaves,Guava,13000-92
Gurken,Cucumbers,Concombres,Cetrioli,4766-59
Hafer,Oats,Avoine,Avena,4768-53
Hafer bei Abgabe an Konsumenten,Oats for consumer use,Avoine destinée aux consommateurs,Avena per consumo diretto,36980-29
Hartschalenobst,Hard-shelled fruits,Fruits à coque,Frutta a guscio duro,4769-50
Hartschalenobst und seine Verarbeitungserzeugnisse zum unmittelbaren Verzehr oder zur Verwendung als Lebensmittelzutat,Hard-shelled fruits and their processed products for direct consumption or use as a food ingredient,Fruits à coque et leurs dérivés prêts à consommer ou utilisés comme ingrédient alimentaire,Frutta a guscio duro e suoi derivati per consumo diretto o come ingrediente alimentare,36619-45
Hartweizen,Durum wheat,Blé dur,Grano duro,18450-38
Hartweizen bei Abgabe an Konsumenten,Durum wheat for consumer use,Blé dur destiné aux consommateurs,Grano duro per consumo diretto,37014-24
Haselnüsse,Hazelnuts,Noisettes,Nocciole,7202-26
Haselnüsse zum unmittelbaren Verzehr oder zur Verwendung als Lebensmittelzutat,Hazelnuts for direct consumption or use as a food ingredient,Noisettes prêtes à consommer ou utilisées comme ingrédient alimentaire,Nocciole per consumo diretto o come ingrediente alimentare,36612-66
Heidelbeeren (Vaccinium vaccinium),Blueberries (Vaccinium vaccinium),Myrtilles (Vaccinium vaccinium),Mirtilli (Vaccinium vaccinium),15926-44
Himbeeren,Raspberries,Framboises,Lamponi,19192-43
Hirse,Millet,Millet,Miglio,8163-53
Hirse bei Abgabe an Konsumenten,Millet for consumer use,Millet destiné aux consommateurs,Miglio per consumo diretto,37034-61
Honig,Honey,Miel,Miele,4771-44
Hühnereier,Chicken eggs,Œufs de poule,Uova di gallina,9691-28
Ingwer,Ginger,Gingembre,Zenzero,6443-72
Johannisbeeren,Currants,Groseilles,Ribes,4774-35
"Kaffee, geröstet",Roasted coffee,Café torréfié,Caffè tostato,5156-53
Karambolen,Carambolas,Caramboles,Carambola,13057-18
Kardamom,Cardamom,Cardamome,Cardamomo,13134-78
Karotten,Carrots,Carottes,Carote,4780-17
Kartoffeln,Potatoes,Pommes de terre,Patate,4781-14
Kastanien,Chestnuts,Châtaignes,Castagne,7200-32
Kirschen,Cherries,Cerises,Ciliegie,19193-40
"Kiwis (grün, rot, gelb)","Kiwis (green, red, yellow)","Kiwis (vert, rouge, jaune)","Kiwi (verde, rosso, giallo)",4784-05
Knoblauch,Garlic,Ail,Aglio,4785-02
Knollensellerie,Celeriac,Céleri-rave,Sedano rapa,4787-93
Kohlrabi,Kohlrabi,Chou-rave,Cavolo rapa,4789-87
Kohlrüben,Turnips,Navets,Navoni,8678-60
"Kokosnüsse, die vor ihrem Verzehr oder ihrer Verwendung als Lebensmittelzutat einer Sortierung oder einer anderen physikalischen Behandlung unterzogen werden sollen",Coconuts to be sorted or otherwise physically treated before consumption or use as a food ingredient,Noix de coco devant être triées ou soumises à un autre traitement physique avant consommation ou utilisation comme ingrédient alimentaire,Noci di cocco che richiedono selezione o altro trattamento fisico prima del consumo o dell'uso come ingrediente alimentare,37025-88
Kopfkohl,Cabbage heads,Chou pommé,Cavolo cappuccio,19194-37
Kopfsalat,Head lettuce,Laitue pommée,Lattuga,4791-81
Korianderkörner,Coriander seeds,Graines de coriandre,Semi di coriandolo,13126-05
Kreuzkümmelsamen,Cumin seeds,Graines de cumin,Semi di cumino nero,13127-02
