Code,NAME DE,NAME FR,NAME IT,NAME EN
B001A,Gesamtgewicht,Poids total,Peso totale,Total weight
B002A,Trockenmasse,Matière sèche,Materia secca,Dry matter
B003A,Fettgewicht,Matière grasse,Materia grassa,Fat
B008A,Essbarer Teil,Partie comestible,Parte commestibile,Edible part
B009A,Genussfertiges Erzeugnis,Produit prêt à consommer,Prodotto pronto al consumo,Ready-to-eat product
B010A,Blätter und oberirdische grüne Teile nach Entfernen der welken Blätter,"Feuilles et autres parties vertes aériennes, après enlèvement des feuilles flétries","Foglie e parti aeree verdi, senza foglie guaste",Leaves and aerial green parts after removal of decayed leaves
B011A,Blätter und Knospen,Feuilles et boutons,Foglie e germogli,Leaves and buds
B012A,Blüten nach Entfernen der  Stängel und welker Teile (ausgenommen Kamille),Fleur entière après enlèvement de la tige et des parties flétries (à l’exception de la camomille),"Fiori, senza steli e parti guaste (eccetto la camomilla)",Flowers after removal of stalks and decayed parts (except Chamomile)
B013A,Blütenstände einschließlich einer technisch nicht vermeidbaren Menge an sonstigen oberirdischen Teilen,Inflorescences (présence d’autres parties aériennes techniquement inévitable),"Infiorescenze, compreso un quantitativo tecnicamente inevitabile di altre parti aeree",Inflorescences including a technically unavoidable amount of other aerial parts
B014A,"Braunreis (geschälter Reis), definiert als Reis nach Entfernung der Hülse vom Rohreis","Riz brun (riz décortiqué), défini comme le riz obtenu après que la balle a été éliminée du riz paddy","Riso bruno (riso decorticato), definito come riso in seguito all’asportazione delle glumelle dal risone","Brown rice (husked rice), defined as rice after the removal of the hull from paddy rice"
B015A,Entlieschte Kolben,"Grains entiers et rafle, sans spathes",Pannocchie senza brattee,Kernels plus cob without husks
B016A,Fermentierte oder getrocknete Bohnen nach Entfernen der Schalen,"Fèves fermentées ou séchées, après enlèvement des coques","Semi fermentati o essiccati, sgusciati","Beans fermented or dried, after removal of shells"
B017A,Fleisch nach Entfernen des    abschneidbaren Fetts,Viandes sans graisse à parer,Carne dopo la rimozione del grasso asportabile,Meat after removal of trimmable fat
B018A,Früchte mit Stielen,Fruits avec pédoncule,Frutti col peduncolo,Fruits with stems
B019A,"Ganze Erzeugnisse aus der    Keimung von Direktsaat (manchmal aus Knollen oder Zwiebeln) in Wasser,    Erde oder hydroponischem Substrat","Produits entiers de la germination de graines proprement dites (parfois de tubercules ou de bulbes) dans l’eau, le sol ou un substrat hydroponique ","Prodotti interi della germinazione di semi propriamente detti (talvolta di tuberi o di bulbi) in acqua, terra o substrato idroponico","Whole products of the germination of true seeds (sometimes of tubers or bulbs) in water, soil, or hydroponic substrate"
B020A,Ganze Frucht nach Entfernen der Stiele und anhaftender Erde,Produit entier après enlèvement du pédoncule et de la terre,"Frutti interi, previa rimozione del peduncolo e dei detriti terrosi",Whole fruit after removal of stems and soil
B021A,Ganze Pflanze nach Entfernen der Wurzeln und   der welken Blätter (ausgenommen Rosenkohle/Kohlsprossen),Plante entière après enlèvement des racines et des feuilles flétries (à l’exception des choux de Bruxelles),"Prodotto intero, previa rimozione di radici e foglie guaste (eccetto i cavoletti di Bruxelles)",Whole plant after removal of roots and decayed leaves (except Brussels sprouts)
B022A,Ganze Pflanze nach Entfernen der Wurzeln und der welken Blätter,Plante entière après enlèvement des racines et des feuilles flétries,"Prodotto intero, previa rimozione di radici e foglie guaste",Whole plant after removal of roots and decayed leaves
B023A,Ganze Pflanze nach Entfernen der Wurzeln und der Blätter,Plante entière après enlèvement des racines et des feuilles,"Prodotto intero, previa rimozione di radici e foglie",Whole plant after removal of roots and leaves
B024A,Ganzer Knospenkopf einschließlich Blütenkelch,"Capitule entier, réceptacle compris","L’intero capolino, compreso il ricettacolo",Whole flower head including receptacle
B025A,Ganzes Erzeugnis (ausgenommen Muskel),Produit entier (à l’exception des muscles),Prodotto intero (eccetto il muscolo),Whole product (except muscle)
B026A,Ganzes Erzeugnis nach Entfernen anhaftender Erde  oder anhaftenden Kultursubstrats,Produit entier après enlèvement de la terre ou du milieu de culture,"Prodotto intero, previa rimozione dei detriti terrosi o del substrato",Whole product after removal of soil or growing medium
B027A,Ganzes Erzeugnis nach Entfernen der Stiele (ausgenommen Oliven für die Gewinnung von Öl),Produit entier après enlèvement du pédoncule (à l’exception des olives à huile),"Prodotto intero, previa rimozione del peduncolo (eccetto le olive da olio)",Whole product after removal of stems (except olives for oil production)
B028A,Ganzes Erzeugnis nach   Entfernen der Blätter und   anhaftender Erde durch Abspülen oder Abbürsten (ausgenommen Zuckerrohr),Produit entier après enlèvement des fanes et de la terre par rinçage ou brossage (à l’exception des cannes à sucre),"Prodotto intero, previa rimozione di cime e detriti terrosi mediante sciacquatura o spazzolatura (eccetto le canne da zucchero)",Whole product after removal of tops and soil by rinsing or brushing (except sugar canes)
B029A,"Ganzes Erzeugnis nach Entfernen der Wurzeln, der   welken Blätter und anhaftender Erde (ausgenommen Kressen und andere Sprossen und   Keime, Baby-Leaf-Salate   (einschließlich der Brassica-Arten) und Schnittlauch)","Produit entier après enlèvement des racines, des feuilles flétries et de la terre [à l’exception des cressons et autres pousses, des jeunes pousses (y compris des espèces de Brassica) et des ciboulettes]","Prodotto intero, previa rimozione di radici, foglie guaste e detriti terrosi [eccetto il crescione e gli altri germogli e gemme, i prodotti baby leaf (comprese le brassicacee) e l’erba cipollina]","Whole product after removal of roots, decayed leaves and soil (except cresses and other sprouts and shoots, baby leaf crops (including brassica species) and chives)"
