Code,NAME DE,NAME FR,NAME IT,NAME EN
A,Industriebetriebe,Entreprises industrielles,Aziende industriali,Industrial enterprises
A1,Industrielle Verarbeitung von Rohstoffen tierischer Herkunft,Transformation industrielle de matières premières d’origine animale,Trasformazione industriale di materie prime animali,Industrial processing of animal raw materials
A101,Herstellbetrieb von Milchprodukten,Entreprise fabriquant des produits laitiers,Produttore di latticini,Establishment producing dairy products
A102,Käsereifungsbetrieb,Entreprise d’affinage de fromages,Azienda di stagionatura del formaggio,Cheese maturation establishment
A103,Abpackbetrieb für Käseprodukte,Entreprise de conditionnement de produits fromagers,Centro di confezionamento per prodotti caseari,Establishment packaging cheese products
A104,"Schlachtbetrieb, ausser Geflügelschlachtbetrieb, und Betrieb mit geringer Kapazität nach Artikel 3 Buchstabe m VSFK","Abattoir, sauf abattoir à volailles, et établissement de faible capacité au sens de l’art. 3, let. m, OAbCV","Macello, esclusa azienda di macellazione del pollame, e azienda con un’esigua capacità produttiva secondo l’articolo 3 lettera m OMCC","Slaughterhouse, other than poultry slaughterhouse, and low-capacity establishment as per Article 3 letter m SMIO"
A105,"Geflügelschlachtbetrieb; Schlachtbetrieb, in dem Geflügel geschlachtet, zugerichtet und verpackt wird","Abattoir à volailles ; abattoir où les volailles sont abattues, préparées et emballées","Azienda di macellazione del pollame; macello in cui viene macellato, sgrossato e confezionato pollame","Poultry slaughterhouse; slaughterhouse in which poultry is slaughtered, prepared and packaged"
A106,Zerlegebetrieb,Établissement de découpe,Azienda di sezionamento,Cutting plant
A107,Herstellbetrieb von Hackfleisch,Entreprise fabriquant de la viande hachée,Produttore di carne trita,Establishment producing minced meat
A108,"Herstellbetrieb von Därmen, Kutteln",Entreprise de boyauderie et triperie,Produttore di intestini trattati e trippa,"Establishment producing intestines, tripe"
A109,Herstellbetrieb von Separatorenfleisch,Entreprise de production de viande séparée mécaniquement,Produttore di carne separata meccanicamente,Establishment producing mechanically separated meat
A110,Herstellbetrieb von Fleischerzeugnissen,Entreprise de fabrication de produits à base de viande,Produttore di prodotti a base di carne,Establishment producing meat products
A111,Abpack-/Umpackbetrieb von Frischfleisch; Abpack-/Umpackbetrieb von Fleischerzeugnissen,Entreprise d’emballage / reconditionnement de viande fraîche ; emballage / reconditionnement de produits de boucherie,Azienda di confezionamento/imballaggio di carne fresca; azienda di confezionamento/imballaggio di prodotti a base di carne,Establishment packaging/repackaging fresh meat; establishment packaging/repackaging meat products
A112,Berufsfischerei,Pêche professionnelle,Pesca professionale,Commercial fishery
A113,Herstellbetrieb von Fischerzeugnissen,Entreprise fabriquant des produits à base de poisson,Produttore di prodotti a base di pesce,Establishment producing fish products
